date,code,open,high,low,close,volume
2024-01-02,sz.000568,179.35,179.35,172.22,172.87,11708435
2024-01-03,sz.000568,172.41,173.96,169.09,170.6,8530447
2024-01-04,sz.000568,170.11,170.56,163.8,165.0,12494978
2024-01-05,sz.000568,164.0,166.8,162.98,163.1,8059837
2024-01-08,sz.000568,162.72,165.27,160.02,160.16,8093736
2024-01-09,sz.000568,160.6,161.7,157.81,159.8,7767000
2024-01-10,sz.000568,159.0,163.88,157.8,160.51,7106873
2024-01-11,sz.000568,160.3,163.0,158.33,161.76,7432187
2024-01-12,sz.000568,161.0,161.85,158.75,159.48,7058674
2024-01-15,sz.000568,158.73,160.28,157.31,158.25,8316494
2024-01-16,sz.000568,158.0,160.5,157.15,158.7,7218562
2024-01-17,sz.000568,158.27,158.41,153.8,153.8,10084599
2024-01-18,sz.000568,153.0,156.88,152.01,156.63,8876219
2024-01-19,sz.000568,156.63,158.5,155.08,157.8,7425837
2024-01-22,sz.000568,157.89,157.96,153.5,154.21,7862988
2024-01-23,sz.000568,153.23,155.99,152.26,153.58,7641537
2024-01-24,sz.000568,153.99,154.33,148.05,151.74,12776821
2024-01-25,sz.000568,151.0,156.3,150.2,155.8,12170797
2024-01-26,sz.000568,155.08,157.5,153.75,155.18,8520034
2024-01-29,sz.000568,155.3,160.94,155.23,156.85,10911918
2024-01-30,sz.000568,156.01,156.14,149.15,150.0,10044721
2024-01-31,sz.000568,149.5,150.69,146.69,146.8,8983556
2024-02-01,sz.000568,146.81,148.8,146.37,146.93,8038203
2024-02-02,sz.000568,147.46,148.95,140.01,144.21,10827629
2024-02-05,sz.000568,142.52,147.01,141.14,144.73,12918892
2024-02-06,sz.000568,143.98,153.66,143.19,153.45,14421104
2024-02-07,sz.000568,155.69,156.85,152.83,155.8,13747038
2024-02-08,sz.000568,156.54,157.47,152.2,153.66,11505068
2024-02-19,sz.000568,160.0,160.5,153.58,155.15,11972115
2024-02-20,sz.000568,154.95,156.32,151.01,153.37,9012011
2024-02-21,sz.000568,152.45,165.87,151.53,163.06,16941646
2024-02-22,sz.000568,161.01,165.8,160.6,165.4,10783604
2024-02-23,sz.000568,164.97,171.8,162.95,169.0,12765675
2024-02-26,sz.000568,168.58,173.89,167.51,169.34,10554916
2024-02-27,sz.000568,168.51,170.29,167.14,169.92,6900187
2024-02-28,sz.000568,171.0,173.6,169.01,169.3,8642338
2024-02-29,sz.000568,168.58,175.89,168.01,175.75,9594209
2024-03-01,sz.000568,175.76,177.5,173.45,175.82,6044708
2024-03-04,sz.000568,174.59,175.75,169.77,170.6,9553057
2024-03-05,sz.000568,170.26,172.91,169.33,172.5,7689984
2024-03-06,sz.000568,172.48,172.96,168.49,168.73,7504580
2024-03-07,sz.000568,169.15,169.97,166.72,167.26,5243799
2024-03-08,sz.000568,167.44,168.48,163.52,165.83,6994242
2024-03-11,sz.000568,166.71,173.0,166.1,172.9,10423939
2024-03-12,sz.000568,174.42,187.35,173.5,185.97,18061801
2024-03-13,sz.000568,185.0,188.48,183.63,185.56,10430650
2024-03-14,sz.000568,184.98,190.4,183.02,187.02,12137680
2024-03-15,sz.000568,186.87,191.79,185.71,187.6,7671098
2024-03-18,sz.000568,189.78,189.85,184.3,186.2,8414044
2024-03-19,sz.000568,185.31,191.73,184.03,190.74,11043440
2024-03-20,sz.000568,189.01,191.37,188.55,189.2,6526747
2024-03-21,sz.000568,190.21,194.3,188.59,190.3,6164273
2024-03-22,sz.000568,189.33,189.99,181.81,183.14,9547988
2024-03-25,sz.000568,182.5,185.02,179.73,183.2,7152988
2024-03-26,sz.000568,183.0,188.48,182.5,187.31,6833244
2024-03-27,sz.000568,188.18,188.2,184.01,184.45,4560896
2024-03-28,sz.000568,184.01,187.66,183.23,185.06,4942679
2024-03-29,sz.000568,185.05,186.88,183.18,184.59,3202824
2024-04-01,sz.000568,185.99,195.0,185.98,191.35,9172029
2024-04-02,sz.000568,192.9,193.5,190.18,190.97,5921008
2024-04-03,sz.000568,193.0,195.99,190.5,192.57,5712241
2024-04-08,sz.000568,190.5,190.5,180.18,180.3,13822713
2024-04-09,sz.000568,180.0,182.76,177.77,178.19,6885682
2024-04-10,sz.000568,178.01,178.88,173.73,175.7,7959042
2024-04-11,sz.000568,175.01,179.5,173.34,178.24,7182692
2024-04-12,sz.000568,177.97,179.88,170.5,170.86,8887567
2024-04-15,sz.000568,171.0,181.58,171.0,180.94,10051216
2024-04-16,sz.000568,180.6,180.68,176.0,176.3,5798073
2024-04-17,sz.000568,176.01,177.8,174.61,176.9,4694972
2024-04-18,sz.000568,176.6,181.78,174.06,178.19,5822460
2024-04-19,sz.000568,176.05,177.47,174.02,175.68,5599170
2024-04-22,sz.000568,177.0,181.49,176.0,178.21,7078999
2024-04-23,sz.000568,178.1,181.47,176.35,181.0,7443226
2024-04-24,sz.000568,181.93,182.98,180.05,182.09,6762313
2024-04-25,sz.000568,181.06,182.3,178.24,179.97,5464423
2024-04-26,sz.000568,180.0,187.8,179.98,186.42,8698726
2024-04-29,sz.000568,189.95,194.68,184.22,189.0,15696298
2024-04-30,sz.000568,189.0,192.03,186.09,186.1,8067781
2024-05-06,sz.000568,188.66,197.71,188.66,193.55,15205669
2024-05-07,sz.000568,193.56,194.27,190.88,193.62,7435621
2024-05-08,sz.000568,193.63,194.2,189.6,190.97,5503315
2024-05-09,sz.000568,190.32,192.2,189.28,190.56,5463323
2024-05-10,sz.000568,191.0,191.8,185.64,186.94,8328942
2024-05-13,sz.000568,185.0,185.1,179.17,180.78,14152557
2024-05-14,sz.000568,180.32,183.2,178.9,181.93,7703616
2024-05-15,sz.000568,181.78,182.77,180.0,180.82,4642722
2024-05-16,sz.000568,180.82,186.8,179.4,185.38,9257543
2024-05-17,sz.000568,184.58,190.12,184.38,189.85,8131801
2024-05-20,sz.000568,190.48,197.45,190.3,192.74,11069872
2024-05-21,sz.000568,191.66,192.87,189.9,191.67,4400953
2024-05-22,sz.000568,191.15,191.88,185.81,187.01,6859331
2024-05-23,sz.000568,186.51,188.64,183.33,183.65,4797446
2024-05-24,sz.000568,183.51,183.63,180.1,181.3,5902297
2024-05-27,sz.000568,181.3,182.0,179.08,180.72,7197809
2024-05-28,sz.000568,180.8,183.43,179.3,180.35,5500677
2024-05-29,sz.000568,180.0,181.4,178.26,179.01,5091552
2024-05-30,sz.000568,178.51,178.96,173.5,174.1,10324391
2024-05-31,sz.000568,174.75,176.77,174.35,174.85,4974678
2024-06-03,sz.000568,175.5,176.6,173.01,174.23,6278177
2024-06-04,sz.000568,174.23,175.88,172.86,175.52,5376882
2024-06-05,sz.000568,174.97,176.53,171.89,171.98,7852435
2024-06-06,sz.000568,171.98,172.47,167.38,168.98,10991394
2024-06-07,sz.000568,169.67,170.51,165.53,166.18,8792197
2024-06-11,sz.000568,165.0,165.62,157.88,159.41,16667945
2024-06-12,sz.000568,158.37,161.23,157.58,158.3,9619315
2024-06-13,sz.000568,158.53,159.43,155.39,155.89,10873633
2024-06-14,sz.000568,155.41,156.8,151.49,156.0,15498858
2024-06-17,sz.000568,154.11,157.8,152.33,157.24,10623903
2024-06-18,sz.000568,156.9,158.94,153.8,154.18,8669240
2024-06-19,sz.000568,154.07,155.91,152.8,153.33,7712267
2024-06-20,sz.000568,153.0,154.28,150.7,151.56,7486098
2024-06-21,sz.000568,151.34,152.21,147.83,150.09,10141964
2024-06-24,sz.000568,146.01,151.87,145.7,149.5,11597570
2024-06-25,sz.000568,149.35,151.41,148.35,150.39,8095547
2024-06-26,sz.000568,149.31,151.9,148.02,149.32,7907701
2024-06-27,sz.000568,148.8,148.95,146.9,148.18,5600374
2024-06-28,sz.000568,146.05,148.5,142.65,143.49,13164234
2024-07-01,sz.000568,142.61,143.96,139.23,143.0,12037281
2024-07-02,sz.000568,142.28,146.55,141.51,143.99,11080352
2024-07-03,sz.000568,144.1,145.66,141.58,142.61,7411027
2024-07-04,sz.000568,142.5,143.39,139.51,139.51,8081792
2024-07-05,sz.000568,139.11,140.39,135.92,137.37,8391987
2024-07-08,sz.000568,137.0,137.37,133.69,134.31,8128816
2024-07-09,sz.000568,134.3,136.9,132.51,135.95,10382736
2024-07-10,sz.000568,135.02,137.27,133.0,133.5,9332737
2024-07-11,sz.000568,135.0,139.2,134.28,136.85,12913766
2024-07-12,sz.000568,136.9,137.93,134.8,136.88,10943936
2024-07-15,sz.000568,135.8,138.98,135.45,138.3,8059207
2024-07-16,sz.000568,138.0,138.77,136.5,137.57,8052871
2024-07-17,sz.000568,137.4,142.0,136.75,141.52,11459169
2024-07-18,sz.000568,141.5,144.31,140.51,142.9,10992666
2024-07-19,sz.000568,142.22,147.11,141.4,146.98,10743292
2024-07-22,sz.000568,147.0,147.74,142.28,142.3,10666854
2024-07-23,sz.000568,141.9,143.0,135.44,135.44,12454860
2024-07-24,sz.000568,134.95,136.88,133.23,133.98,9110998
2024-07-25,sz.000568,133.12,134.89,130.3,131.56,11499191
2024-07-26,sz.000568,131.53,133.46,129.0,129.83,11522174
2024-07-29,sz.000568,129.89,130.44,126.0,126.23,10746206
2024-07-30,sz.000568,125.0,125.67,123.21,125.33,10665891
2024-07-31,sz.000568,125.29,131.3,123.45,130.66,14191851
2024-08-01,sz.000568,130.94,130.94,124.79,124.79,13410805
2024-08-02,sz.000568,123.23,125.78,123.23,123.35,8130939
2024-08-05,sz.000568,123.25,130.19,123.0,126.8,16565741
2024-08-06,sz.000568,127.91,129.42,125.87,126.89,8952838
2024-08-07,sz.000568,126.0,128.29,125.3,127.26,7862813
2024-08-08,sz.000568,126.5,132.0,126.2,129.57,12577204
2024-08-09,sz.000568,131.16,132.98,129.15,129.15,8282825
2024-08-12,sz.000568,128.41,130.56,128.05,129.06,6332656
2024-08-13,sz.000568,128.88,129.0,126.31,127.1,6644347
2024-08-14,sz.000568,127.1,127.38,124.77,125.2,5213142
2024-08-15,sz.000568,124.93,127.69,124.6,126.54,7180085
2024-08-16,sz.000568,126.35,126.36,124.94,125.25,6150454
2024-08-19,sz.000568,125.8,129.25,124.78,124.78,8893606
2024-08-20,sz.000568,124.91,125.5,123.6,123.85,5778169
2024-08-21,sz.000568,123.98,124.37,122.84,123.14,5812649
2024-08-22,sz.000568,123.1,123.48,120.34,122.5,12333557
2024-08-23,sz.000568,117.1,119.49,117.1,118.21,8012162
2024-08-26,sz.000568,118.4,119.99,117.51,118.53,5882754
2024-08-27,sz.000568,118.0,119.4,116.47,118.75,5223446
2024-08-28,sz.000568,117.44,117.83,111.25,112.94,16501518
2024-08-29,sz.000568,112.71,116.5,112.0,115.28,11544537
2024-08-30,sz.000568,114.35,121.36,113.08,119.28,16309388
2024-09-02,sz.000568,116.0,116.0,112.5,112.5,16404147
2024-09-03,sz.000568,113.9,115.23,112.57,114.23,9071580
2024-09-04,sz.000568,114.39,115.94,112.63,112.69,6733833
2024-09-05,sz.000568,112.5,113.63,112.22,113.4,5006785
2024-09-06,sz.000568,113.46,113.57,110.55,110.6,6750540
2024-09-09,sz.000568,109.26,109.52,107.2,107.9,9309617
2024-09-10,sz.000568,107.9,109.12,106.6,107.19,7824236
2024-09-11,sz.000568,106.5,107.63,105.8,105.93,8205586
2024-09-12,sz.000568,105.93,106.3,102.53,102.6,13941480
2024-09-13,sz.000568,102.5,103.1,100.8,100.82,13941584
2024-09-18,sz.000568,100.3,101.13,98.95,100.02,11815724
2024-09-19,sz.000568,100.48,104.47,98.92,101.5,17948051
2024-09-20,sz.000568,101.0,101.8,99.98,101.37,9624766
2024-09-23,sz.000568,101.37,104.8,101.37,102.35,11036004
2024-09-24,sz.000568,104.39,111.0,102.28,110.62,25513672
2024-09-25,sz.000568,113.3,117.43,112.46,112.47,25286986
2024-09-26,sz.000568,113.77,123.72,113.0,123.72,33127300
2024-09-27,sz.000568,131.97,136.09,130.0,136.09,38203545
2024-09-30,sz.000568,149.7,149.7,145.0,149.7,31658417
2024-10-08,sz.000568,164.67,164.67,149.8,159.0,63281173
2024-10-09,sz.000568,152.0,153.0,143.1,143.1,45385953
2024-10-10,sz.000568,142.2,153.8,142.2,147.29,34967724
2024-10-11,sz.000568,144.01,147.65,139.26,141.38,18996266
2024-10-14,sz.000568,141.38,142.75,136.7,141.2,22751059
2024-10-15,sz.000568,141.2,141.21,134.2,134.39,23013472
2024-10-16,sz.000568,132.0,138.21,131.81,134.99,17861507
2024-10-17,sz.000568,136.33,136.75,131.08,131.19,13119687
2024-10-18,sz.000568,130.06,138.29,128.23,135.24,27618586
2024-10-21,sz.000568,134.77,135.95,131.88,134.21,20400856
2024-10-22,sz.000568,134.29,138.0,133.82,137.23,18535953
2024-10-23,sz.000568,137.98,142.38,135.77,140.12,21210019
2024-10-24,sz.000568,139.0,139.0,135.5,135.64,11259632
2024-10-25,sz.000568,135.0,139.34,135.0,136.62,11189527
2024-10-28,sz.000568,139.0,144.0,136.36,142.64,26045310
2024-10-29,sz.000568,141.28,148.2,139.8,140.0,23408902
2024-10-30,sz.000568,137.29,140.8,136.0,136.81,12523301
2024-10-31,sz.000568,136.01,138.2,133.47,135.51,17676653
2024-11-01,sz.000568,134.99,139.5,134.2,136.53,16284065
2024-11-04,sz.000568,137.48,137.76,134.94,137.3,13245896
2024-11-05,sz.000568,137.0,141.12,136.0,141.12,18439714
2024-11-06,sz.000568,141.0,142.0,138.41,139.9,15475954
2024-11-07,sz.000568,139.01,153.89,138.87,153.89,37394855
2024-11-08,sz.000568,155.0,156.0,149.73,151.0,30631107
2024-11-11,sz.000568,148.0,149.0,143.6,148.1,23607510
2024-11-12,sz.000568,148.15,151.38,145.68,146.7,20081318
2024-11-13,sz.000568,145.41,147.68,144.7,145.89,13546499
2024-11-14,sz.000568,145.0,147.0,143.99,144.61,15178644
2024-11-15,sz.000568,144.61,148.0,142.7,144.1,16915818
2024-11-18,sz.000568,144.09,145.58,140.74,142.67,15618163
2024-11-19,sz.000568,143.49,143.82,138.0,141.68,13723759
2024-11-20,sz.000568,141.09,143.03,140.19,142.47,9416792
2024-11-21,sz.000568,141.92,143.18,140.73,141.68,7631638
2024-11-22,sz.000568,141.64,142.0,136.18,136.29,11876596
2024-11-25,sz.000568,136.26,138.25,135.19,136.88,9881632
2024-11-26,sz.000568,136.01,138.88,135.0,136.87,8314489
2024-11-27,sz.000568,136.13,139.82,135.0,138.87,9932129
2024-11-28,sz.000568,138.8,138.8,135.99,136.14,7948857
2024-11-29,sz.000568,136.49,141.51,136.4,138.73,13763029
2024-12-02,sz.000568,138.55,140.5,136.86,139.02,11169728
2024-12-03,sz.000568,138.9,138.9,136.8,138.18,8408421
2024-12-04,sz.000568,138.0,138.68,136.28,137.1,8357038
2024-12-05,sz.000568,136.5,137.08,135.7,136.3,7008900
2024-12-06,sz.000568,136.1,139.1,136.0,138.21,10118492
2024-12-09,sz.000568,138.2,140.25,136.81,137.88,9184620
2024-12-10,sz.000568,147.88,150.0,141.0,141.69,33915376
2024-12-11,sz.000568,140.5,144.1,140.46,141.3,15351492
2024-12-12,sz.000568,141.0,145.7,140.26,144.91,18159864
2024-12-13,sz.000568,143.0,143.11,137.73,137.79,21362888
2024-12-16,sz.000568,137.82,137.84,131.91,132.6,21151916
2024-12-17,sz.000568,132.85,133.93,131.68,132.0,11912011
2024-12-18,sz.000568,132.3,132.96,131.0,131.5,9289535
2024-12-19,sz.000568,130.2,130.63,128.94,129.97,11995399
2024-12-20,sz.000568,130.0,130.66,128.62,130.32,9595491
2024-12-23,sz.000568,130.0,131.09,129.11,129.76,9470600
2024-12-24,sz.000568,129.86,130.19,128.7,130.12,9024317
2024-12-25,sz.000568,130.55,130.56,129.4,129.55,7222381
2024-12-26,sz.000568,129.75,129.99,129.01,129.29,6460173
2024-12-27,sz.000568,129.45,130.5,128.58,129.55,8157152
2024-12-30,sz.000568,129.24,130.08,126.32,126.86,14711655
2024-12-31,sz.000568,127.0,128.85,125.15,125.2,11721767
2025-01-02,sz.000568,125.2,125.59,120.5,121.05,14946398
2025-01-03,sz.000568,120.98,122.35,118.86,119.74,11343916
2025-01-06,sz.000568,118.05,118.5,114.98,115.3,17729562
2025-01-07,sz.000568,115.61,116.12,114.39,116.05,9819438
2025-01-08,sz.000568,115.73,117.44,114.25,115.61,11938513
2025-01-09,sz.000568,115.83,118.14,114.61,115.93,9558611
2025-01-10,sz.000568,115.62,115.78,113.34,113.34,7729478
2025-01-13,sz.000568,112.0,116.4,111.97,116.29,12574333
2025-01-14,sz.000568,116.3,121.0,116.3,120.48,14716279
2025-01-15,sz.000568,119.99,120.4,118.86,119.21,7092818
2025-01-16,sz.000568,119.74,120.48,116.88,117.99,7837196
2025-01-17,sz.000568,117.5,120.27,117.22,118.7,7545791
2025-01-20,sz.000568,119.29,121.1,118.81,119.18,8825968
2025-01-21,sz.000568,120.06,120.06,117.7,118.3,6653920
2025-01-22,sz.000568,117.77,117.77,115.7,116.49,8029318
2025-01-23,sz.000568,117.5,118.31,116.13,116.54,8459461
2025-01-24,sz.000568,115.18,116.26,114.51,114.87,8500157
2025-01-27,sz.000568,114.88,116.15,114.55,115.55,7507490
2025-02-05,sz.000568,115.6,115.92,112.66,113.81,7704719
2025-02-06,sz.000568,113.49,115.0,113.2,114.25,7702120
2025-02-07,sz.000568,114.0,116.65,113.33,115.5,11616319
2025-02-10,sz.000568,115.91,116.27,114.93,115.71,7677833
2025-02-11,sz.000568,115.95,116.45,113.68,114.28,8184639
2025-02-12,sz.000568,114.2,115.99,113.83,115.98,7775887
2025-02-13,sz.000568,116.0,121.87,115.6,120.45,23373329
2025-02-14,sz.000568,119.9,120.5,119.01,119.86,9459653
2025-02-17,sz.000568,119.89,122.13,119.8,120.49,9604671
2025-02-18,sz.000568,120.22,121.5,118.51,118.78,8846745
2025-02-19,sz.000568,118.78,119.5,117.66,119.0,7401627
2025-02-20,sz.000568,118.4,119.57,117.9,118.0,6342073
2025-02-21,sz.000568,118.45,120.45,118.02,119.08,11507032
2025-02-24,sz.000568,119.08,123.72,118.8,121.85,17295187
2025-02-25,sz.000568,121.1,121.36,119.5,119.9,8056661
2025-02-26,sz.000568,119.61,121.81,118.12,121.58,10932675
2025-02-27,sz.000568,121.2,127.99,120.8,127.78,28453938
2025-02-28,sz.000568,127.0,130.1,126.19,126.46,17523547
2025-03-03,sz.000568,126.46,130.2,124.35,125.0,11404355
2025-03-04,sz.000568,124.1,124.99,122.2,123.48,8346613
2025-03-05,sz.000568,123.55,124.26,122.29,123.73,7712116
2025-03-06,sz.000568,124.0,126.5,122.56,126.18,9968818
2025-03-07,sz.000568,125.52,132.5,125.01,131.41,21551039
2025-03-10,sz.000568,131.41,132.78,129.83,132.12,11591899
2025-03-11,sz.000568,131.0,137.0,130.15,136.83,20269463
2025-03-12,sz.000568,136.82,138.13,134.62,135.78,12472777
2025-03-13,sz.000568,135.54,138.12,135.0,135.26,9057499
2025-03-14,sz.000568,137.0,145.5,136.86,143.61,28768424
2025-03-17,sz.000568,144.8,146.72,141.4,142.94,19066501
2025-03-18,sz.000568,143.24,143.6,140.56,143.37,11045871
2025-03-19,sz.000568,142.5,143.27,137.8,139.02,17924444
2025-03-20,sz.000568,138.0,138.79,134.9,135.16,13324453
2025-03-21,sz.000568,134.43,137.44,130.68,130.68,14683607
2025-03-24,sz.000568,131.45,133.49,129.92,132.75,12375106
2025-03-25,sz.000568,132.76,133.0,130.51,131.58,8309676
2025-03-26,sz.000568,131.5,133.2,131.21,132.11,6419199
2025-03-27,sz.000568,131.83,134.53,130.88,134.12,7732756
2025-03-28,sz.000568,134.16,134.6,131.63,132.3,6700212
2025-03-31,sz.000568,132.3,132.3,129.13,129.72,9044328
2025-04-01,sz.000568,129.72,131.7,129.27,130.89,5435270
2025-04-02,sz.000568,130.52,131.95,129.41,129.71,5768268
2025-04-03,sz.000568,128.17,132.98,128.08,132.58,8646909
2025-04-07,sz.000568,127.3,129.67,120.8,125.56,19007423
