date,code,open,high,low,close,volume
2024-01-02,sz.000333,54.63,55.05,54.2,54.56,23905697
2024-01-03,sz.000333,54.59,54.8,54.1,54.45,20689673
2024-01-04,sz.000333,54.66,55.32,54.45,55.25,26702502
2024-01-05,sz.000333,55.2,56.08,54.85,55.6,30042877
2024-01-08,sz.000333,55.6,55.6,54.62,55.0,27809739
2024-01-09,sz.000333,54.71,55.33,54.11,55.17,21607041
2024-01-10,sz.000333,55.17,55.77,54.84,55.22,17820813
2024-01-11,sz.000333,55.22,55.49,54.73,55.0,21236920
2024-01-12,sz.000333,54.9,55.71,54.58,55.0,24361080
2024-01-15,sz.000333,54.84,55.98,54.66,55.88,19124097
2024-01-16,sz.000333,55.61,56.95,55.1,56.92,33730399
2024-01-17,sz.000333,56.63,57.29,56.37,56.37,26914126
2024-01-18,sz.000333,56.79,56.99,55.08,56.4,39023100
2024-01-19,sz.000333,56.0,56.6,55.86,56.14,29937004
2024-01-22,sz.000333,55.88,56.66,55.08,55.34,35980322
2024-01-23,sz.000333,55.52,56.69,54.8,56.38,28848518
2024-01-24,sz.000333,56.15,57.44,56.02,57.19,26463721
2024-01-25,sz.000333,57.3,57.49,56.24,56.35,24963629
2024-01-26,sz.000333,56.35,57.75,56.35,57.51,32745737
2024-01-29,sz.000333,57.9,59.48,57.69,58.69,37498736
2024-01-30,sz.000333,58.7,59.2,58.0,58.22,27373299
2024-01-31,sz.000333,57.91,58.94,57.42,58.25,25544153
2024-02-01,sz.000333,58.23,59.46,58.0,58.81,30340175
2024-02-02,sz.000333,58.5,58.88,57.31,58.25,28950504
2024-02-05,sz.000333,58.0,59.6,57.82,59.45,46160268
2024-02-06,sz.000333,59.26,60.79,59.02,59.95,37946385
2024-02-07,sz.000333,59.29,61.17,59.03,61.11,46195919
2024-02-08,sz.000333,61.29,62.36,59.98,60.29,34723180
2024-02-19,sz.000333,61.7,61.7,59.81,60.6,35695854
2024-02-20,sz.000333,60.3,61.79,59.67,61.7,29630917
2024-02-21,sz.000333,61.0,62.55,60.68,61.71,27797182
2024-02-22,sz.000333,61.21,61.79,61.03,61.35,19259055
2024-02-23,sz.000333,61.68,62.1,59.32,59.62,43093597
2024-02-26,sz.000333,59.85,61.5,59.85,60.3,34097731
2024-02-27,sz.000333,60.59,61.99,60.1,61.92,28014795
2024-02-28,sz.000333,62.0,62.31,60.95,61.82,25367364
2024-02-29,sz.000333,62.0,63.48,61.75,62.63,48920998
2024-03-01,sz.000333,63.5,64.51,62.88,64.47,32844906
2024-03-04,sz.000333,65.0,66.0,63.5,64.6,37384392
2024-03-05,sz.000333,64.65,65.4,63.45,65.04,35525326
2024-03-06,sz.000333,64.9,65.53,64.3,64.51,21923001
2024-03-07,sz.000333,64.45,66.65,64.2,65.8,30634033
2024-03-08,sz.000333,65.87,66.49,64.88,66.1,26125410
2024-03-11,sz.000333,66.09,66.1,64.56,65.42,28027002
2024-03-12,sz.000333,65.35,65.35,63.05,64.13,50739915
2024-03-13,sz.000333,63.66,64.33,63.0,64.07,32723164
2024-03-14,sz.000333,63.86,64.75,63.6,64.5,31531677
2024-03-15,sz.000333,64.39,64.5,63.3,64.02,25463904
2024-03-18,sz.000333,63.88,63.89,62.35,62.36,42501113
2024-03-19,sz.000333,62.2,63.12,62.17,62.6,29794618
2024-03-20,sz.000333,62.2,62.5,61.4,61.88,37790890
2024-03-21,sz.000333,61.91,62.04,60.13,60.55,39189153
2024-03-22,sz.000333,60.56,62.65,60.5,62.62,43156777
2024-03-25,sz.000333,62.19,63.66,61.78,62.9,26903326
2024-03-26,sz.000333,62.31,63.25,62.31,62.72,25353749
2024-03-27,sz.000333,62.53,64.88,62.51,63.67,34842794
2024-03-28,sz.000333,64.23,65.39,63.18,64.58,45185411
2024-03-29,sz.000333,64.58,65.73,63.66,64.22,25468858
2024-04-01,sz.000333,64.5,66.28,64.1,66.22,32771225
2024-04-02,sz.000333,66.0,66.53,65.75,66.25,22653632
2024-04-03,sz.000333,66.2,66.9,65.98,66.73,20626495
2024-04-08,sz.000333,66.72,66.85,64.67,65.32,32434492
2024-04-09,sz.000333,65.0,65.6,64.82,65.04,19478279
2024-04-10,sz.000333,64.87,66.2,64.56,65.17,18081970
2024-04-11,sz.000333,64.95,65.95,64.61,65.07,19004769
2024-04-12,sz.000333,64.99,65.6,64.58,64.89,21734388
2024-04-15,sz.000333,64.89,67.0,64.71,66.84,31783741
2024-04-16,sz.000333,66.78,68.77,66.57,68.31,39191380
2024-04-17,sz.000333,68.0,68.8,66.98,68.58,24549649
2024-04-18,sz.000333,68.58,71.33,68.38,70.0,39542136
2024-04-19,sz.000333,69.43,70.58,69.43,70.0,28812335
2024-04-22,sz.000333,70.2,71.19,69.5,69.98,28943754
2024-04-23,sz.000333,69.83,70.0,67.59,68.39,38217940
2024-04-24,sz.000333,68.34,68.64,66.75,67.9,30783047
2024-04-25,sz.000333,67.13,68.56,67.13,68.24,22033298
2024-04-26,sz.000333,68.25,68.65,67.42,68.37,24225747
2024-04-29,sz.000333,68.3,68.88,67.23,68.2,33226398
2024-04-30,sz.000333,66.84,71.15,66.8,69.78,57131843
2024-05-06,sz.000333,70.5,71.46,69.65,71.01,46179914
2024-05-07,sz.000333,70.81,72.33,70.62,71.1,30431457
2024-05-08,sz.000333,70.5,71.34,70.39,70.75,17661960
