date,code,open,high,low,close,volume
2024-01-02,sz.000858,140.3,140.3,135.8,136.0,21526999
2024-01-03,sz.000858,135.98,136.67,133.75,134.88,16417109
2024-01-04,sz.000858,134.88,134.9,132.01,132.32,17876323
2024-01-05,sz.000858,132.0,133.3,130.78,131.24,15630369
2024-01-08,sz.000858,131.01,131.14,128.0,128.1,21020047
2024-01-09,sz.000858,128.1,129.38,127.41,127.81,17483816
2024-01-10,sz.000858,127.81,129.58,126.01,128.8,16530411
2024-01-11,sz.000858,128.7,130.5,127.22,129.62,15646396
2024-01-12,sz.000858,128.88,130.12,128.1,128.75,11920766
2024-01-15,sz.000858,128.0,129.39,127.08,128.68,11582558
2024-01-16,sz.000858,127.92,129.28,126.93,128.41,12528653
2024-01-17,sz.000858,127.6,127.8,125.14,125.14,17675746
2024-01-18,sz.000858,124.8,128.13,123.19,127.9,23594821
2024-01-19,sz.000858,127.0,129.51,126.12,128.89,22502046
2024-01-22,sz.000858,128.4,129.15,125.8,127.0,21340958
2024-01-23,sz.000858,126.8,128.12,125.48,127.38,16198659
2024-01-24,sz.000858,128.18,128.48,125.26,128.05,16682387
2024-01-25,sz.000858,128.0,131.11,127.56,131.11,27342127
2024-01-26,sz.000858,130.11,131.99,129.5,131.0,19317416
2024-01-29,sz.000858,131.09,133.67,131.09,131.78,21614965
2024-01-30,sz.000858,130.8,130.9,127.58,127.71,17071977
2024-01-31,sz.000858,127.5,128.68,126.29,126.3,13521837
2024-02-01,sz.000858,125.74,127.72,125.14,126.5,13787549
2024-02-02,sz.000858,126.5,128.65,122.56,123.82,21086217
2024-02-05,sz.000858,123.82,127.88,122.91,126.57,30804209
2024-02-06,sz.000858,126.0,133.0,125.7,132.99,32384190
2024-02-07,sz.000858,133.11,134.7,132.1,133.87,29067328
2024-02-08,sz.000858,134.8,136.12,132.7,133.59,24374798
2024-02-19,sz.000858,138.9,138.95,134.78,136.15,28857883
2024-02-20,sz.000858,136.0,137.0,133.0,134.38,21181874
